# combo=loongarch-glibc
# source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/loongarch-glibc/parsed.tsv

Combo            | Case Name                | TPASS  | Summary    | Status       | End   
loongarch-glibc  | clock_nanosleep01        | 12     | yes/14     | PASS         | 0     
loongarch-glibc  | select02                 | 12     | yes/14     | TIMEOUT      | 124   
loongarch-glibc  | fcntl15                  | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | fcntl15_64               | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | madvise10                | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | membarrier01             | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | readlinkat01             | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | shmctl01                 | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | timerfd01                | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | times03                  | 12     | yes/12     | PASS         | 0     
loongarch-glibc  | futex_wake02             | 11     | yes/11     | PASS         | 0     
loongarch-glibc  | futex_wake03             | 11     | yes/11     | PASS         | 0     
loongarch-glibc  | gettid02                 | 11     | yes/11     | PASS         | 0     
loongarch-glibc  | sigtimedwait01           | 11     | yes/11     | PASS         | 0     
loongarch-glibc  | inotify10                | 10     | yes/10     | PASS         | 0     
loongarch-glibc  | readv01                  | 10     | yes/10     | PASS         | 0     
loongarch-glibc  | socketpair01             | 10     | yes/10     | PASS         | 0     
loongarch-glibc  | waitid08                 | 10     | yes/10     | PASS         | 0     
loongarch-glibc  | recvmsg01                | 9      | yes/10     | FAIL         | 1     
loongarch-glibc  | epoll_ctl02              | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | epoll_wait06             | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | fpathconf01              | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | getrandom03              | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | getsockopt01             | 9      | yes/9      | PASS         | 0     
loongarch-glibc  | inotify02                | 9      | yes/9      | PASS         | 0     
