combo=riscv-glibc
source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/riscv-glibc/raw.log

chown03_16               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chown04                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chown04_16               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chown05                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chown05_16               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chroot01                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chroot02                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chroot03                 | TPASS=5    | Summary=yes | SummaryTotal=5    | Status=PASS         | End=0
chroot04                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_adjtime01          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_adjtime02          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_getres01           | TPASS=44   | Summary=yes | SummaryTotal=44   | Status=PASS         | End=0
clock_gettime01          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_gettime02          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_gettime03          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_gettime04          | TPASS=6    | Summary=yes | SummaryTotal=6    | Status=PASS         | End=0
clock_nanosleep01        | TPASS=12   | Summary=yes | SummaryTotal=14   | Status=PASS         | End=0
clock_nanosleep02        | TPASS=7    | Summary=yes | SummaryTotal=7    | Status=PASS         | End=0
clock_nanosleep03        | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_nanosleep04        | TPASS=4    | Summary=yes | SummaryTotal=4    | Status=PASS         | End=0
clock_settime01          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_settime02          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clock_settime03          | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
clone01                  | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
clone02                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
clone03                  | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
clone04                  | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
clone05                  | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=1
